User-id,Game-title,Genre,personal-rating
124725852,Cities Skylines,Simulator,4
127117386,Cities Skylines,Simulator,1
127628725,Cities Skylines,Simulator,5
130460859,Cities Skylines,Simulator,5
131348564,Cities Skylines,Simulator,4
133422169,Cities Skylines,Simulator,2
135012938,Cities Skylines,Simulator,2
135400225,Cities Skylines,Simulator,5
142475478,Cities Skylines,Simulator,4
143877335,Cities Skylines,Simulator,5
145825155,Cities Skylines,Simulator,4
155919035,Cities Skylines,Simulator,3
158429732,Cities Skylines,Simulator,5
159365538,Cities Skylines,Simulator,2
163432200,Cities Skylines,Simulator,5
163930591,Cities Skylines,Simulator,1
166604341,Cities Skylines,Simulator,5
170377069,Cities Skylines,Simulator,5
172518437,Cities Skylines,Simulator,1
175447188,Cities Skylines,Simulator,5
180501401,Cities Skylines,Simulator,4
180753437,Cities Skylines,Simulator,5
205829374,Cities Skylines,Simulator,5
215208719,Cities Skylines,Simulator,1
224751217,Cities Skylines,Simulator,1
228209477,Cities Skylines,Simulator,3
228343275,Cities Skylines,Simulator,1
239413586,Cities Skylines,Simulator,5
257528104,Cities Skylines,Simulator,5
261857176,Cities Skylines,Simulator,1
263936784,Cities Skylines,Simulator,2
275437638,Cities Skylines,Simulator,5
298446224,Cities Skylines,Simulator,4
301274389,Cities Skylines,Simulator,2
5250,Deus Ex Human Revolution,Shooter,5
298950,Deus Ex Human Revolution,Shooter,5
975449,Deus Ex Human Revolution,Shooter,5
7440594,Deus Ex Human Revolution,Shooter,5
9128105,Deus Ex Human Revolution,Shooter,5
9823354,Deus Ex Human Revolution,Shooter,2
10253354,Deus Ex Human Revolution,Shooter,5
10599862,Deus Ex Human Revolution,Shooter,5
11731710,Deus Ex Human Revolution,Shooter,5
11970504,Deus Ex Human Revolution,Shooter,1
13190476,Deus Ex Human Revolution,Shooter,5
14126086,Deus Ex Human Revolution,Shooter,5
17530772,Deus Ex Human Revolution,Shooter,1
21061921,Deus Ex Human Revolution,Shooter,2
22301321,Deus Ex Human Revolution,Shooter,2
24469287,Deus Ex Human Revolution,Shooter,3
24632218,Deus Ex Human Revolution,Shooter,5
26465134,Deus Ex Human Revolution,Shooter,2
26762388,Deus Ex Human Revolution,Shooter,5
27403206,Deus Ex Human Revolution,Shooter,2
29239329,Deus Ex Human Revolution,Shooter,5
31669242,Deus Ex Human Revolution,Shooter,4
31849177,Deus Ex Human Revolution,Shooter,5
